"pinyinnum","pinyintone","pinyinnone","traditional","simplified","MC","OC","radsup","morph","variant","Kroll","zdic","note"
"yu2~hu1","yú~hū","yu~hu","於乎","於乎","'u~hu","*[ʔ]ˤa~*ɢˤa","NA","RR","NA","NA","感嘆詞。詩經．周頌．維天之命：「於乎不顯，文王之德之純。」近於戲、嗚呼亦作「嗚呼」。","NA"
"hui4~mei4","huì~mèi","hui~mei","晦昧","晦昧","xwojH~mwojH","*m̥ˤək-s~*mˤ[u][t]-s","日","RB","NA","NA","天色陰沉、昏暗。南朝梁．吳均．送柳吳興竹亭集詩：「躑躅牛羊下，晦昧崦嵫色。」唐．韓愈．謁衡嶽廟遂宿嶽寺題門樓詩：「我來正逢秋雨節，陰氣晦昧無清風。」隱晦不明、模糊不清。清．紀昀．閱微草堂筆記．卷二十四．灤陽續錄六：「廟祝棋道士病其晦昧，使畫工以墨鉤勒，遂似削圓方竹。」愚昧無知。北齊書．卷三．文襄帝紀：「彼當嗤僕之過迷，此亦笑君之晦昧。」","NA"
"ai4~mei4","ài~mèi","ai~mei","曖昧","暧昧","'ojH~mwojH","NA~*mˤ[u][t]-s","日","RB","NA","NA","含混不清、幽暗不明。晉書．卷三十四．杜預傳：「臣心實了，不敢以曖昧之見，自取後累。」近含糊反明白、明朗行為不光明磊落，有不可告人的隱私。如：「他們之間似乎有曖昧的行為存在。」","NA"
"ju4~ru4","jù~rù","ju~ru","沮洳","沮洳","dzjoX~nyo","*[dz]aʔ~*na","水","RR","NA","NA","低溼的地方。詩經．魏風．汾沮洳：「彼汾沮洳，言采其莫。」元．王惲．輓漕篇：「發源本清淺，才夏即沮洳。」","NA"
"huo2~po1","huó~pō","huo~po","活潑","活泼","hwat~pat","*[g]ʷˤat~NA","水","RR","NA","NA","自然生動而不呆板。如：「她個性活潑，深具人緣。」、「這篇文章敘述生動活潑，頗受好評。」近靈活、活躍、生動反呆板、古板、拘束、沉靜、死板、嚴肅、文靜化學上指元素或化合物易與其他物質產生化學變化的性質。","lively"
"liu2~luo4","liú~luò","liu~luo","流落","流落","ljuw~lak","*ru~*kə.rˤak","水","RB","NA","NA","飄泊流浪，潦倒失意。唐．鄭谷．江際詩：「那堪流落逢搖落，可得潸然是偶然。」三國演義．第二十七回：「因世亂流落江湖，聚眾五百餘人，劫掠為生。」近流浪、流離、落難","NA"
"liu2~li2","liú~lí","liu~li","流離","流离","ljuw~lje","*ru~*[r]aj","NA","RB","NA","NA","流亡離散。漢書．卷四十五．蒯通傳：「今劉、項分爭，使人肝腦塗地，流離中野，不可勝數。」文選．陳琳．檄吳將校部曲文：「然周盛門戶，無辜被戮，遺類流離，湮沒林莽。」近飄泊、流浪、流落、流散光采絢爛的樣子。漢書．卷八十七．揚雄傳上：「曳紅采之流離兮，颺翠氣之冤延。」文選．王延壽．魯靈光殿賦：「彤彩之飾，徒何為乎？澔澔涆涆，流離爛漫。」眼淚或汗水滴落。文選．司馬相如．長門賦：「左右悲而垂淚兮，涕流離而從橫。」文選．嵇康．養生論：「夫服藥求汗，或有弗獲，而愧情一集，渙然流離。」一種青色寶石。漢書．卷九十六．西域傳上．罽賓國傳：「出封牛、水牛、象、大狗、沐猴、孔爵、珠璣、珊瑚、虎魄、璧流離。」亦作「琉璃」。貓頭鷹的別名。見「貓頭鷹」條。","NA"
"hao4~ran2","hào~rán","hao~ran","浩然","浩然","hawX~nyen","*[g]ˤuʔ~*[n]a[n]","水","RAN","NA","NA","廣闊盛大的樣子。晉書．卷四十一．劉寔傳：「懸車告老，二十餘年，浩然之志，老而彌篤。」唐．李白．日出行：「吾將囊括大塊，浩然與溟涬同科。」亦作「皓然」。不可阻遏，沒有留戀的樣子。孟子．公孫丑下：「夫出晝而王不予追也，予然後浩然有歸志。」唐．溫庭筠．送人東遊詩：「荒戍落黃葉，浩然離故關。」浩然之氣的省稱。宋．文天祥．正氣歌：「天地有正氣，雜然賦流形：下則為河嶽，上則為日星，於人曰浩然，沛乎塞蒼冥。」","NA"
"qi1~liang2","qī~liáng","qi~liang","淒涼","凄凉","tshej~ljang","NA~*C.raŋ","水","RB","NA","NA","悲苦。唐．李白．笛別曹南群官之江南詩：「懷歸路綿邈，覽古情淒涼。」初刻拍案驚奇．卷十五：「今已歷盡淒涼，受人冷淡。」近悲涼、悲慘、淒慘反歡樂、喜慶亦作「悽涼」。形容環境孤寂、冷清。南朝梁．沈約．為臨川五九日侍太子宴詩：「淒涼霜野，惆悵晨鵾。」唐．皎然．與盧孟明別後宿南湖對月：「曠望煙霞盡，淒涼天地秋。」反熱鬧悲苦。如：「身世悽涼」。近苦楚亦作「淒涼」。","NA"
"qing1~yang2","qīng~yáng","qing~yang","清揚","清扬","tshjeng~yang","*tsʰeŋ~*laŋ","NA","BR","NA","NA","形容眉目開朗有神。詩經．鄘風．君子偕老：「子之清揚，揚且之顏也。」引申為對人容貌神采的敬稱。唐．蔣防．霍小玉傳：「今日幸會，得睹清揚。」聊齋志異．卷一．王六郎：「拜識清揚，情逾骨肉。」形容聲音清亮悠揚。荀子．法行：「扣之其聲清揚而遠聞，其止輟然。」","NA"
"qing1~ming2","qīng~míng","qing~ming","清明","清明","tshjeng~mjaeng","*tsʰeŋ~*mraŋ","NA","BR","NA","NA","清澈明淨。荀子．解蔽：「則湛濁在下而清明在上，則足以見鬚眉而察理矣。」唐．元稹．西縣驛詩：「去時樓上清明夜，月照樓前撩亂花。」近明朗、清朗、明亮反昏暗天下太平，政治有法度。詩經．大雅．大明：「肆伐大商，會朝清明。」漢書．卷二十二．禮樂志：「即位三十年，四夷賓服，百姓家給，政教清明。」反昏暗、腐敗精神清朗。淮南子．主術：「夫人主之聽治也，清明而不闇，虛心而弱志。」如：「神志清明」。近明朗、清朗聲音清澈響亮。唐．羊士諤．郡中即事詩三首之一：「鼓角清明如戰壘，梧桐搖落似貧居。」近明朗、清朗、明亮二十四節氣之一。國曆四月五日或六日。","NA"
"you2~yan3","yóu~yǎn","you~yan","游衍","游衍","yuw~yenX","*[N-]ru~*N-q(r)anʔ","水","BR","NA","NA","恣意縱遊。詩經．大雅．板：「昊天曰旦，及爾游衍。」唐．王維．桃源行：「出洞無論隔山水，辭家終擬長游衍。」","NA"
"miao3~ran2","miǎo~rán","miao~ran","渺然","渺然","mjiewX~nyen","*[m]ewʔ~*[n]a[n]","水","RAN","NA","NA","悠遠。唐．趙嘏．江樓感舊詩：「獨上江樓思渺然，月光如水水如天。」","NA"
"di1~li4","dī~lì","di~li","滴瀝","滴沥","tek~lek","NA~NA","水","BR","NA","dribbling droplets","狀聲詞。形容水滴落下的聲音。文選．王延壽．魯靈光殿賦：「動滴瀝以成響，殷雷應其若驚。」","also 瀝滴"
"piao1~yao2","piāo~yáo","piao~yao","漂搖","漂摇","phjew~yew","NA~*law","NA","BR","NA","NA","NA","NA"
"yan3~yang4","yǎn~yàng","yan~yang","演漾","演漾","yenX~yangH","*N-q(r)anʔ~[ɢ](r)aŋʔ-s","水","RR","NA","NA","NA","NA"
"dan4~ran2","dàn~rán","dan~ran","澹然","澹然","damX~nyen","*[l]ˤamʔ~*[n]a[n]","水","RAN","NA","NA","恬靜的樣子。文選．揚雄．長楊賦：「使海內澹然，永亡邊城之災、兵革之患。」唐．柳宗元．晨詣超師院讀禪經詩：「澹然離言說，悟悅心自足。」水波搖動的樣子。唐．溫庭筠．利州南渡詩：「澹然空水帶斜暉，曲島蒼茫接翠微。」","NA"
"ru2~ran3","rú~rǎn","ru~ran","濡染","濡染","nyu~nyemX","*no~*C.n[a]mʔ","水","RR","NA","NA","感染、參雜。宋．蘇籀．遺言：「公言近世學問，濡染陳俗卻人，雖善士亦或不免。」近沾染溼潤。常指提筆寫字作畫。唐．李商隱．韓碑詩：「公退齋戒坐小閣，濡染大筆何淋漓。」明．高濂．玉簪記．第十齣：「（外）​仙姑手中佳扇，為何無人題寫？（旦）​欲求足下濡染，未敢輕凟。」","NA"
"yi1~jie1","yī~jiē","yi~jie","猗嗟","猗嗟","'i~tsjae","NA~*tsAj","NA","RR","NA","NA","表示讚嘆的語詞。詩經．齊風．猗嗟：「猗嗟昌兮，頎而長兮。」毛亨．傳：「猗嗟，歎辭。」唐．張說．大唐中散大夫行淄州司馬鄭府君神道碑：「猗嗟君子，世濟其美。」詩經齊風的篇名。共三章。根據詩序：「猗嗟，刺魯莊公也。」首章二句為：「猗嗟昌兮，頎而長兮。」猗嗟，嘆詞。","NA"
"yi1~yu3","yī~yǔ","yi~yu","猗歟","猗欤","'je~yo","NA~NA","NA","RR","NA","ah yes! oh indeed!","NA","NA"
"yi1~yu3","yī~yǔ","yi~yu","猗與","猗与","‘jeX~yoX","NA~*m-q(r)aʔ","NA","RR","NA","NA","NA","NA"
"qing4~kong4","qìng~kòng","qing~kong","磬控","磬控","khengH~khuwngH","*[C.qʰ]ˤeŋ-s~*kʰˤoŋ-s","NA","RR","NA","NA","不讓馬前進的馭馬方法。詩經．鄭風．大叔于田：「抑磬控忌，抑縱送忌。」","NA"
"mian2~man2","mián~mán","mian~man","綿蠻","绵蛮","mjen~maen","NA~*mˤro[n]","NA","RB","NA","NA","泛指鳥語。明．劉兌．金童玉女嬌紅記：「一會價弄睆睍新腔，一會價學綿蠻妙語。」詩經小雅的篇名。共三章。根據詩序：「綿蠻，微臣刺亂也。」或謂微臣苦於行役之詩。首章二句為：「綿蠻黃鳥，止於丘阿。」","NA"
"mian2~man2","mián~mán","mian~man","緜蠻","緜蛮","mjen~maen","NA~*mˤro[n]","NA","RB","NA","NA","NA","NA"
"ao2~xiang2","áo~xiáng","ao~xiang","翱翔","翱翔","ngaw~zjang","NA~*s.[ɢ]aŋ","羽","RR","NA","NA","鳥回旋高飛。淮南子．俶真：「今矰繳機而在上，罔罟張而在下，雖欲翱翔，其勢焉得？」文選．宋玉．對楚王問：「鳳皇上擊九千里，絕雲霓、負蒼天，翱翔乎杳冥之上。」近遨遊、飛翔、飛行敖遊、彷徉。詩經．齊風．載驅：「魯道有蕩，齊子翱翔。」文選．賈誼．鵩鳥賦：「寥廓忽荒兮，與道翱翔。」","NA"
"fen1~yun1","fēn~yūn","fen~yun","芬氳","芬氲","pjun~'jun","NA~NA","NA","BR","NA","perfused and saturated, laden and swollen, blanketing overcast full of vapors, snow, odors, etc.","NA","NA"
"fen1~fang1","fēn~fāng","fen~fang","芬芳","芬芳","phjun~phjang","NA~*[pʰ]aŋ","艸","BR","NA","NA","香氣。荀子．榮辱：「口辨酸鹹甘苦，鼻辨芬芳腥臊。」近芳香反腐臭、惡臭形容香氣淡雅。文選．司馬相如．子虛賦：「樝梨梬栗，橘柚芬芳。」形容事物的美好。南朝梁．劉勰．文心雕龍．頌讚：「及三閭橘頌，情采芬芳，比類寓意，又覃及細物矣。」","NA"
"dang4~yang4","dàng~yàng","dang~yang","蕩漾","荡漾","dangX~yangH","*N.rˤaŋʔ~[ɢ](r)aŋʔ-s","水","RR","NA","NA","振動起伏，多用於指水波、聲音。唐．李白．惜餘春賦：「水蕩漾兮碧色，蘭葳蕤兮紅芳。」近飄蕩、泛動、動蕩、漣漪、悠揚反平靜亦作「盪漾」。振動起伏，多用於指水波、聲音。如：「水波盪漾」。亦作「蕩漾」。","NA"
"kai3~ti4","kǎi~tì","kai~ti","豈弟","岂弟","khojX~dejX","*C.qʰˤəjʔ~*lˤəjʔ","NA","RR","NA","NA","和樂的樣子。詩經．小雅．蓼蕭：「既見君子，孔燕豈弟。」","NA"
"hong1~leng2","hōng~léng","hong~leng","輷輘","輷輘","xong~long","NA~NA","車","RR","NA","onom. of ruble and rattle of carriages and thunder","NA","NA"
"lin2~li4","lín~lì","lin~li","轔轢","辚轹","lin~lek","NA~*[r]ˤawk","車","BR","NA","crush under wheels of chariot","車輪輾過。史記．卷一一七．司馬相如傳：「徒車之所轔轢，乘騎之所蹂若。」欺凌。隋書．卷七十五．儒林傳．何妥傳：「曹魏祖不識北辰，今復轔轢太史。」近踐踏亦作「凌轢」。","NA"
"hui2~he2","huí~hé","hui~he","迴合","迴合","hwoj~kop","*[ɢ]ʷˤəj~*kˤop","NA","RR","NA","NA","量詞。計算交手次數的單位。西遊記．第二十一回：「那老妖與大聖鬥經三十回合，不分勝敗。」環繞。唐．張泌．寄人詩：「別夢依依到謝家，小廊回合曲闌斜。」環繞、圍繞。文選．謝靈運．入彭蠡湖口詩：「洲島驟迴合，圻岸屢崩奔。」唐．李白．明堂賦：「翠楹迴合，蟬聯汙漫。」","NA"
"you2~ao2","yóu~áo","you~ao","遊敖","遊敖","yuw~ngaw","*[N-]ru~*[ŋ]ˤaw","NA","BR","NA","NA","NA","NA"
"you2~ao2","yóu~áo","you~ao","遊遨","遊遨","yuw~ngaw","*[N-]ru~ŋˤaw","辶","BR","NA","NA","NA","NA"
"jian1~guan1","jiān~guān","jian~guan","閒關","閒关","kean~kwaen","NA~*[k]ˤro[n]","NA","RR","NA","NA","NA","NA"
"ge2~ge2","gé~gé","ge~ge","閣閤","阁閤","kak~kop","*C.kˤak~*[k]ˤ[o]p","門","RR","NA","NA","NA","NA"
"ling2~li4","líng~lì","ling~li","陵轢","陵轹","ling~lek","*[r]əŋ~*[r]ˤawk","NA","BR","NA","NA","欺陵、壓倒。史記．卷十．孝文本紀：「令不得居其故，陵轢邊吏，入盜。」亦作「凌轢」。","NA"
"tao2~ran2","táo~rán","tao~ran","陶然","陶然","daw~nyen","NA~*[n]a[n]","阜","RAN","NA","NA","形容舒暢快樂，怡然自得的樣子。晉．陶淵明．時運詩：「揮茲一觴，陶然自樂。」唐．李白．下終南山過斛斯山人宿置酒詩：「我醉君復樂，陶然共忘機。」","NA"
"li2~luan4","lí~luàn","li~luan","離亂","离乱","lje~lwanH","*[r]aj~*[r]ˤo[n]-s","NA","BR","NA","NA","離散紛亂。如：「在那離亂不安的時代裡，不知拆散了多少幸福家庭？」","NA"
"li2~mi2","lí~mí","li~mi","離麋","离麋","lje~~ mje","*[r]aj~*mr[i]j","NA","BR","NA","tightly tangled, continuously connected","NA","NA"
"ling2~luan4","líng~luàn","ling~luan","零亂","零乱","leng~lwanH","*[r]ˤiŋ~*[r]ˤo[n]-s","NA","BR","NA","NA","散亂不整齊。如：「他的桌上書籍零亂，人卻不知到哪裡去了。」近雜亂反齊整、系統、整齊","NA"
"ling2~luo4","líng~luò","ling~luo","零落","零落","leng~lak","*[r]ˤiŋ~*kə.rˤak","NA","BR","NA","withered and wasted, sere and strepped, devastated; in vain disarray","草木凋落。禮記．王制：「草木零落，然後入山林。」楚辭．屈原．離騷：「惟草木之零落兮，恐美人之遲暮。」近凋零、凋謝、脫落反興盛、茂盛死亡。比喻人事衰頹。文選．孔融．論盛孝章書：「海內知識，零落殆盡。」樂府詩集．卷四十．相和歌詞十五．晉．陸機．門有車馬客行：「親友多零落，舊齒皆凋喪。」近凋零、凋謝反興盛、茂盛、興旺身世落魄。唐．杜甫．佳人詩：「自云良家子，零落依草木。」紅樓夢．第九十二回：「豈知甄士隱弄到零落不堪，沒有找處。」近落莫反興盛、興旺景色蕭條殘敗。三國演義．第六回：「關中殘破零落。今無故捐宗廟，棄皇陵，恐百姓驚動。」稀疏不全。大宋宣和遺事．貞集：「皆零落骨殖，復合取二木函殮之。」近稀落反密集","NA"
"mai4~mu4","mài~mù","mai~mu","霢霂","霢霂","mweak~muwk","NA~NA","雨","BR","NA","light drizzle, mizzle; 
(med.) also, shining and sweat","小雨。詩經．小雅．信南山：「上天同雲，雨雪雰雰。益之以霢霂，既優既渥。」比喻流汗的樣子。文選．左思．吳都賦：「揮袖風飄而紅塵晝昏，流汗霢霂而中逵泥濘。」唐．白居易．香山寺石樓潭夜浴詩：「搖扇風甚微，褰裳汗霢霂。」","NA"
"wu4~lu4","wù~lù","wu~lu","霧露","雾露","mjuH~luH","*kə.m(r)[o]k-s~*p.rˤak-s","雨","BR","NA","NA","NA","NA"
"yan4~yu4","yàn~yù","yan~yu","饜飫","餍饫","jemH~'jew","*ʔ<r>em-s~[ʔ](r)aw","NA","BR","NA","NA","飽食。唐．杜牧．杜秋娘詩：「歸來煮豹胎，饜飫不能飴。」宋．陸游．對食詩：「豹胎日饜飫，萍虀卻時供。」近飽食亦作「厭飫」。","NA"
"chi2~qu1","chí~qū","chi~qu","馳驅","驰驱","drje~khju","*[l]raj~*[k]ʰ(r)o","馬","BR","NA","NA","策馬疾馳。孟子．滕文公下：「吾為之範我馳驅，終日不獲一；為之詭遇，一朝而獲十。」近奔走、驅馳比喻替人奔走效力。三國．蜀．諸葛亮．出師表：「三顧臣于草廬之中，諮臣以當世之事，由是感激，遂許先帝以馳驅。」近奔走、驅馳放肆恣意。詩經．大雅．板：「敬天之渝，無敢馳驅。」","NA"
"gao1~ge2","gāo~gé","gao~ge","高閣","高阁","kaw~kak","*Cə.[k]ˤaw~*C.kˤak","NA","RR","NA","NA","高高的樓閣。後漢書．卷三十二．樊宏傳：「其所起廬舍，皆有重堂高閣。」唐．王勃．滕王閣詩：「滕王高閣臨江渚，佩玉鳴鑾罷歌舞。」放置書籍、器物的高架。即插架，一名高閣，以斑竹作之，高懸於壁間。","NA"
"cang1~geng1","cāng~gēng","cang~geng","倉庚","仓庚","tshang~kaeng","*[s.r̥]ˤaŋ~*kˤraŋ","NA","NOTIDEOPHONE","鶬鶊","oriole, esp. Oriolus chinensis","黃鶯的別名。見「黃鶯」條。","bird, syn. 鶯、黃鳥、黃鸝"
"kui3~lei3","kuǐ~lěi","kui~lei","傀儡","傀儡","khwojX~lwojX","NA~NA","人","NOTIDEOPHONE","NA","puppet, wooden figure, effigy","木偶戲中受人在幕後操縱的木偶。比喻徒有虛名，沒有主見，甘心任人操縱的人或組織。朱子全書．卷一．學一．總論為學之方：「今於古人所以下學之序，則以為近於傀儡而鄙厭之。」","tool"
"jiao1~yao2","jiāo~yáo","jiao~yao","僬僥","僬侥","tsjew~ngew","NA~*[k]ˤewʔ","人","NOTIDEOPHONE","NA","nameof legendary country of pygmies; term for very small persons ('wren' people 鷦鷯 jiao1liao2)","神話傳說中的矮人國。列子．湯問：「從中州以東四十萬里得僬僥國，人長一尺五寸。」古代西南夷中的一族。後漢書．卷二．顯宗孝明帝紀：「西南夷哀牢、儋耳、僬僥、槃木、白狼、動黏諸種，前後慕義貢獻。」年幼卑微的人。宋．蘇軾．劉醜廝詩：「人事豈易料，勿輕此僬僥。」","mythology; 僬 jiao1 also jiao4 (MC tsjewH); contrast with 嶕嶢 tall and towering"
"dou1~mou2","dōu~móu","dou~mou","兜鍪","兜鍪","tuw~mjuw","*tˤo~NA","NA","NOTIDEOPHONE","NA","war helmet in the shape of an iron pot with a turned-back lip","一種古時戰士戴的頭盔。形如鍪，用以防禦兵刃。三國演義．第七回：「紹以兜鍪撲地，大呼曰：『大丈夫願臨陣鬥死。』」士兵。宋．辛棄疾．南鄉子．何處望神州詞：「年少萬兜鍪，坐斷東南戰未休。」","weaponry"
"ji1~ju2","jī~jú","ji~ju","剞劂","剞劂","kje~kjwot","NA~NA","刀","NOTIDEOPHONE","NA","bevel-edge chisel, graver's knife","雕刻用的曲刀。楚辭．嚴忌．哀時命：「握剞劂而不用兮，操規矩而無所施。」文選．左思．魏都賦：「剞劂罔掇，匠斲積習。」雕版、刊印。唐．韓愈．送文暢師北遊詩：「先生閟窮巷，未得窺剞劂。」清．馬從善．兒女英雄序：「亟付剞劂，以存先生著作。」雕刻的技術。漢．傅毅．雅琴賦：「施公輸之剞劂，遂彫琢而成器。」","tool"
"e4~ye4","è~yè","e~ye","㔩葉","㔩叶","op~yep","NA~*l[a]p","NA","NOTIDEOPHONE","NA","woman's decorated headwrap","NA","clothing"
"ke4~dun1","kè~dūn","ke~dun","可敦","可敦","khaek~twon","*[k]ʰˤa[j]ʔ~*tˤur (dialect: *-r > *-j)","NA","NOTIDEOPHONE","NA","transcription of Turkic khatun wife, woman < Sogdan khwaten, queen","可汗之妻的稱號。或稱為「賀敦」、「可賀敦」。","loanword"
"ke4~han4","kè~hàn","ke~han","可汗","可汗","khaekH~hanH","*[k]ʰˤa[j]ʔ~*Cə.[g]ˤa[r]-s","NA","NOTIDEOPHONE","NA","kaghan transcription of Turkic title for supreme ruler","古代西域和北方各國對君王的稱呼。樂府詩集．卷二十五．橫吹曲辭五．古辭．木蘭詩二首之一：「昨夜見軍帖，可汗大點兵。」亦作「克汗」。","royalty, 可 ke4 also ke3"
"hou2~long2","hóu~lóng","hou~long","喉嚨","喉咙","huw~luwng","*[g]ˤ(r)o~NA","口","NOTIDEOPHONE","NA","throat, trachea","咽喉的俗稱。見「咽喉」條。","anatomy"
"shan4~yu4","shàn~yù","shan~yu","單于","单于","dzyenH~hju","*dar (< *[d]ar)~*ɢʷ(r)a","NA","NOTIDEOPHONE","禪于","title of the Xiongnu supreme leader","漢時匈奴君長的稱號。漢書．卷九十四．匈奴傳上：「匈奴單于曰頭曼，頭曼不勝秦，北徙。」唐．盧綸．和張僕射塞下曲六首之三：「月黑雁飛高，單于夜遁逃。」","rank; 單 shan4 (MC dzyenH) also dan1 (MC tan)"
"hui2~he2","huí~hé","hui~he","回紇","回纥","hwoj~hwot","*[ɢ]ʷˤəj~NA","NA","NOTIDEOPHONE","NA","Uighur","NA","ethnicity"
"ling2~yu3","líng~yǔ","ling~yu","囹圄","囹圄","leng~ngoX","NA~*m-qʰ<r>aʔ","囗","NOTIDEOPHONE","NA","prison","監牢、監獄。初刻拍案驚奇．卷十一：「那有罪的老死牖下，無罪的卻命絕了囹圄刀鋸之間。」儒林外史．第十一回：「則小弟這幾根老骨頭，只好瘐死囹圄之中矣！」","architecture"
"pei3~lou3","pěi~lǒu","pei~lou","培塿","培塿","buwX~luwX","NA~NA","土","NOTIDEOPHONE","NA","small hill, monticule, hummock, hillock","小土山。唐．柳宗元．始得西山宴游記：「然後知是山之特立，不與培塿為類。」或作「部婁」。","NA"
"e2~huang2","é~huáng","e~huang","娥皇","娥皇","nga~hwang","NA~*[ɢ]ʷˤaŋ","NA","NOTIDEOPHONE","娥媓","“Fairy Radiance"" name of one of sage-king Yao's 2 daughters who were wives with 舜 Shun","相傳為堯之女，與女英同嫁於舜。及舜為天子，娥皇為后，女英為妃。後舜崩於蒼梧之野，二女沒於江湘之間。","mythology"
"jie2~yu2","jié~yú","jie~yu","婕妤","婕妤","tsjep~yo","NA~NA","女","NOTIDEOPHONE","NA","title of a palace aldy, usually of imperial favor and high rank","職官名。為漢代女官，武帝時所置，位視上卿，爵比列侯。自魏晉至明代多沿設。亦作「倢伃」。","rank"
"chang2~e2","cháng~é","chang~e","嫦娥","嫦娥","dzyang~nga","NA~NA","女","NOTIDEOPHONE","NA","“persistent beauty"" name of legendary lady","后羿的妻子姮娥。見「姮娥」條。比喻月亮。元．白樸．牆頭馬上．第二折：「深拜你個嫦娥不妒色，你敢且半霎兒霧鎖雲埋。」亦作「姮娥」。","mythology"
"kong3~que4","kǒng~què","kong~que","孔雀","孔雀","khuwng~tsjak","*[k]ʰˤoŋʔ~*[ts]ewk","NA","NOTIDEOPHONE","NA","peacock","動物名。鳥綱鶉雞目雉科。形略似雉，體長三尺餘，翼短小，雄者特壯麗，尾有長羽，能開張作扇狀，極美觀，為著名觀賞鳥，產於熱帶。亦稱為「鳳友」。","bird"
"ju4~shu4","jù~shù","ju~shu","寠數","寠数","kjuX~srjuH","NA~*s-roʔ","婁","NOTIDEOPHONE","NA","straw pad placed underneath an item carried on top of one's head","NA","tool"
"kun1~lun2","kūn~lún","kun~lun","崑崙","崑崙","kwon~lwon","NA~NA","山","NOTIDEOPHONE","昆侖","name of mythical mountain in the far west","NA","mythology"
"heng2~e2","héng~é","heng~e","恆娥","恒娥","hong~nga","*[g]ˤəŋ~NA","NA","NOTIDEOPHONE","姮娥？","""Persistent Beauty"" name of legendary lady said to have stolen elixir of immortality and fled to the moon, hence goddess of the moon","NA","mythology; also called 嫦娥 chang2e2 (dzyang-nga)"
"chan2~lun2","chán~lún","chan~lun","攙掄","搀抡","dzream~lwon","NA~NA","手","NOTIDEOPHONE","NA","tailed comet","NA","astronomy"
"ban1~mao2","bān~máo","ban~mao","斑蝥","斑蝥","paen~maew","*pˤran~NA","文","NOTIDEOPHONE","螌蝥","blister-beetle (spec. of mylabris)","虎甲蟲的別名。見「虎甲蟲」條。","insect, not ideophone"
"kun1~wu2","kūn~wú","kun~wu","昆吾","昆吾","kwon~ngu","*[k]ˤu[n]~*ŋˤa","NA","NOTIDEOPHONE","琨珸","vulcan stone; semi-precious stone; official in charge of smelting and founding","國名。位今河南省濮陽縣，曾為夏伯，後為商湯所滅。正午時太陽所在的地方。淮南子．天文：「至于昆吾，是謂正中。」文選．張衡．思玄賦：「躋日中於昆吾兮，憩炎火之所陶。」古代的寶刀、寶劍。以昆吾山上的赤銅打造成。山海經．中山經．郭璞．注：「此山出名銅，色赤如火，以之作刃，切玉如割泥也；周穆王時西戎獻之，尸子所謂昆吾之劍也。」亦作「錕鋙」。","geology, rank; 昆 kun1 also hun2 (MC hwon)"
"du4~juan1","dù~juān","du~juan","杜鵑","杜鹃","duX~kwen","NA~NA","NA","NOTIDEOPHONE","NA","hawk-cuckoo (Hierococcyx Sparverioides)","動物名。鳥綱鵑形目。口大尾羽長，嘴黑色，上嘴末端稍曲，身體灰褐色，尾巴有白色橫斑，胸腹部有黑色橫條紋，與鷹相似，初夏時常晝夜不停啼叫，鳴聲淒厲，能動旅客歸思。相傳為古蜀王杜宇之魂所化。或稱為「杜宇」、「鶗鴃」、「啼鴃」、「鵜鴃」、「子規」。植物名。常綠灌木。春夏開紅、紫或白色的花，葉子呈橢圓形，供人觀賞。亦稱為「映山紅」。","bird"
"kao3~lao3","kǎo~lǎo","kao~lao","栲栳","栲栳","khawX~lawX","NA~NA","木","NOTIDEOPHONE","NA","basket or hamper made of willow withes, wicker basket","竹製或柳條製的盛物器。初刻拍案驚奇．卷十七：「被他趕著，一鞭打在腦後，猛然驚覺。自此瘡越加大了，頭脹如栲栳。」亦作「巴斗」、「笆斗」。","tool"
"guang1~lang2","guāng~láng","guang~lang","桄榔","桄榔","kwang~lang","NA~NA","木","NOTIDEOPHONE","NA","sugar-palm, feather-palm (Areca saccharifera, A. pinnata)","植物名。棕櫚科山棕櫚屬，常綠灌木。葉為羽狀複葉，邊緣呈不規則鉅齒狀，色深綠，花小，香氣濃郁。莖髓可製澱粉，葉柄纖維則可製繩。產於熱帶地方。","plant"
"jie2~geng3","jié~gěng","jie~geng","桔梗","桔梗","ket~kaengX","NA~*kˤraŋʔ","木","NOTIDEOPHONE","NA","chinese bellflower (Platycodon grandiflorus)","植物名。桔梗科桔梗屬。葉橢圓，花五瓣，色紫或白，觀賞用。根可入藥，有止咳袪痰的功用。","plant"
"jie2~gao1","jié~gāo","jie~gao","桔槔","桔槔","ket~kaw","NA~NA","木","NOTIDEOPHONE","NA","well-sweep, counterbalanced bailing-bucket to draw up water","汲水的工具。以繩懸橫木上，一端繫水桶，一端繫重物，使其交替上下，以節省汲引之力。紅樓夢．第十七、十八回：「籬外山坡之下有一土井，旁有桔槔轆轤之屬。」","NA"
"jun1~qian1","jūn~qiān","jun~qian","桾櫏","桾櫏","kjun~tshjen","NA~NA","木","NOTIDEOPHONE","NA","date-plum (Diospyros lotus)","NA","plant"
"gan3~lan3","gǎn~lǎn","gan~lan","橄欖","橄榄","kamX~lamX","NA~NA","木","NOTIDEOPHONE","NA","Chinese olive, canarium (Canarium album)","植物名。橄欖科橄欖屬，常綠喬木。灰褐色樹皮，片狀剝落，皮目顯明，嫩枝具有鏽褐色短毛。羽狀複葉互生，總狀花序著生於葉腋上部，雌雄雜株，橢圓形核果，初為黃綠色，後轉為黑黃色。果實可生食或鹽漬或蜜餞後食之。亦稱為「南威」、「諫果」、「青果」、「忠果」。","plant"
